City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,omsukchan,62.5333,155.8,-33.49,99,11,0.65,RU,1670384646
305,tazovskiy,67.4667,78.7,-11.26,89,100,7.4,RU,1670384647
306,georgetown,5.4112,100.3354,29.97,79,20,3.09,MY,1670384610
307,celestun,20.8667,-90.4,24.37,73,31,6.49,MX,1670384647
308,salalah,17.0151,54.0924,23.05,56,20,2.57,OM,1670384648
309,tshikapa,-6.4167,20.8,19.69,98,100,0.26,CD,1670384648
310,ridgecrest,35.6225,-117.6709,9.25,51,0,3.09,US,1670384649
311,isla mujeres,21.2311,-86.731,25.09,66,0,6.5,MX,1670384649
312,port-gentil,-0.7193,8.7815,25.97,83,100,4.89,GA,1670384650
313,hurghada,27.2574,33.8129,17.02,63,0,5.66,EG,1670384512
314,huilong,31.8111,121.655,11.6,47,4,2.42,CN,1670384650
315,beringovskiy,63.05,179.3167,-9.67,61,83,6.18,RU,1670384651
316,paranaiba,-19.6772,-51.1908,22.88,81,100,0.9,BR,1670384651
317,port augusta,-32.5,137.7667,22.11,41,14,11.61,AU,1670384651
318,novopokrovka,49.8425,36.5477,-6.94,66,0,5.88,UA,1670384652
319,ternate,0.8,127.4,28.95,69,97,3.03,ID,1670384652
320,tuatapere,-46.1333,167.6833,19.62,49,61,3.62,NZ,1670384653
321,chalmette,29.9427,-89.9634,22.22,91,0,5.14,US,1670384653
322,wanning,18.8003,110.3967,20.77,89,100,6.77,CN,1670384654
323,temiscaming,46.7212,-79.0971,-0.25,93,100,1.54,CA,1670384654
324,florida,28.7505,-82.5001,19.86,69,100,1.89,US,1670384366
325,emba,48.8264,58.1442,-16.17,87,11,3.41,KZ,1670384655
326,pointe michel,15.25,-61.3833,25.32,71,42,2.17,DM,1670384655
327,batouri,4.4333,14.3667,22.38,48,99,0.56,CM,1670384655
328,vagur,61.4732,-6.8119,3.39,66,91,9.04,FO,1670384656
329,baiao,-2.7906,-49.6717,23.11,89,9,0.38,BR,1670384656
330,nemuro,43.3236,145.575,4.18,52,76,8.07,JP,1670384657
331,mapiripan,2.8892,-72.1256,22.78,84,54,2.0,CO,1670384657
332,gat,31.61,34.7642,15.22,84,8,2.59,IL,1670384658
333,mackay,-21.15,149.2,37.05,58,0,5.77,AU,1670384359
334,acapulco,16.8634,-99.8901,25.9,83,0,0.0,MX,1670384568
335,karratha,-20.7377,116.8463,34.43,32,1,8.41,AU,1670384659
336,shingu,33.7333,135.9833,11.98,50,60,5.49,JP,1670384659
337,hamilton,39.1834,-84.5333,13.44,97,100,2.57,US,1670384660
338,apex,35.7327,-78.8503,15.46,92,100,0.0,US,1670384578
339,pouembout,-21.1333,164.9,25.4,89,99,0.94,NC,1670384660
340,tomari,47.7658,142.0683,-4.43,59,100,7.99,RU,1670384661
341,anloga,5.7947,0.8973,27.01,83,94,4.92,GH,1670384661
342,ipixuna,-1.7625,-48.8043,23.23,92,7,1.42,BR,1670384661
343,roxana,10.2753,-83.7513,20.21,96,3,1.73,CR,1670384333
344,tokur,53.1333,132.9,-19.98,90,100,2.79,RU,1670384662
345,codrington,-38.2667,141.9667,15.96,57,98,8.25,AU,1670384662
346,severnyy,50.677,36.5532,-10.98,85,0,7.0,RU,1670384663
347,tosya,41.0155,34.0401,1.78,82,21,1.2,TR,1670384663
348,atherton,53.5237,-2.4935,1.5,87,58,1.53,GB,1670384663
349,pevek,69.7008,170.3133,-20.29,100,90,0.86,RU,1670384664
350,bay city,43.5945,-83.8889,5.18,91,100,3.09,US,1670384625
351,tessalit,20.1986,1.0114,22.14,17,55,4.05,ML,1670384664
